Software	Version	Website
Fastcat	0.15.1	https://github.com/epi2me-labs/fastcat
Nanoplot	1.42.0	https://github.com/wdecoster/NanoPlot
filtlong	v0.2.1	https://github.com/rrwick/Filtlong
kraken2	v2.1.3	https://github.com/DerrickWood/kraken2
flye	2.9.2-b1786	https://github.com/mikolmogorov/Flye
canu	v2.2	https://github.com/marbl/canu
raven	v1.8.3	https://github.com/lbcb-sci/raven
seqkit	v2.5.1	https://github.com/shenwei356/seqkit
minimap2	v2.24-r1122	https://github.com/lh3/minimap2
samtools	v1.18	https://github.com/samtools/samtools
bedtools	v2.29.2	https://github.com/arq5x/bedtools2
bakata	1.8.1	https://github.com/oschwengers/bakta
