Contig	Length (bp)	Length aligned to database (bp)	% contig	GC content (%)	Sequencing depth (X)
tig00001	2,298,310	151,718	6.60	39.58	511.96
tig00002	5,182	3,919	75.63	39.42	186.44
tig00003	3,846	0	0.00	45.87	2173.99
